ID,Title,Link,Date,done,propose dataset,tool-use llm-agent,safety/security,out of scope,why out of scope,domain,domain details,policy,policy example,policy categories
230,Assessing Spear-Phishing Website Generation in Large Language Model Coding Agents,https://arxiv.org/pdf/2602.13363v1,2026-02-13 12:12:53+00:00,TRUE,Yes,no,,,,,,,,
231,CryptoFormalEval: Integrating LLMs and Formal Verification for Automated Cryptographic Protocol Vulnerability Detection,https://arxiv.org/pdf/2411.13627v1,2024-11-20 14:16:55+00:00,TRUE,Yes,yes,yes,yes,"The paper evaluates how good an agent can do crypto task, not how secure an agent can be",,,,,
232,YNTP-100: A Benchmark for Your Next Token Prediction with 100 People,https://arxiv.org/pdf/2510.14398v3,2025-10-16 07:54:02+00:00,TRUE,Yes,no,,,,,,,,
233,Advancing AI Trustworthiness Through Patient Simulation: Risk Assessment of Conversational Agents for Antidepressant Selection,https://arxiv.org/pdf/2602.11391v1,2026-02-11 21:53:18+00:00,TRUE,Yes,no,,,,,,,,
234,Semantically Aware UAV Landing Site Assessment from Remote Sensing Imagery via Multimodal Large Language Models,https://arxiv.org/pdf/2602.01163v1,2026-02-01 11:30:03+00:00,TRUE,Yes,yes,yes,no,,domain specific,UAV,unclear,,
235,PRODIGy: a PROfile-based DIalogue Generation dataset,https://arxiv.org/pdf/2311.05195v2,2023-11-09 08:19:34+00:00,TRUE,Yes,no,,,,,,,,
236,Evaluating Precise Geolocation Inference Capabilities of Vision Language Models,https://arxiv.org/pdf/2502.14412v1,2025-02-20 09:59:28+00:00,TRUE,Yes,yes,no,,,,,,,
237,TraderBench: How Robust Are AI Agents in Adversarial Capital Markets?,https://arxiv.org/pdf/2603.00285v1,2026-02-27 20:06:28+00:00,TRUE,Yes,yes,no,,,,,,,
238,AI for Climate Finance: Agentic Retrieval and Multi-Step Reasoning for Early Warning System Investments,https://arxiv.org/pdf/2504.05104v2,2025-04-07 14:11:11+00:00,TRUE,Yes,no,,,,,,,,
239,Position: Theory of Mind Benchmarks are Broken for Large Language Models,https://arxiv.org/pdf/2412.19726v4,2024-12-27 16:30:12+00:00,TRUE,No,,,,,,,,,
240,An end-to-end agentic pipeline for smart contract translation and quality evaluation,https://arxiv.org/pdf/2602.13808v1,2026-02-14 14:37:59+00:00,TRUE,Yes,no,,,,,,,,
241,PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design,https://arxiv.org/pdf/2512.14233v1,2025-12-16 09:37:21+00:00,TRUE,Yes,yes,yes,yes,"this paper evaluates whether agents can perform security task, not how secure an agent is",,,,,
242,SCARE: A Benchmark for SQL Correction and Question Answerability Classification for Reliable EHR Question Answering,https://arxiv.org/pdf/2511.17559v2,2025-11-13 06:35:29+00:00,TRUE,Yes,no,,,,,,,,
243,Can LLMs Write Faithfully? An Agent-Based Evaluation of LLM-generated Islamic Content,https://arxiv.org/pdf/2510.24438v1,2025-10-28 14:05:55+00:00,TRUE,Yes,no,,,,,,,,
